hotelid,roomid
126919188,100465866
126919188,105729774
126919188,110692903
126919188,113225018
126919188,114220619
134990555,114663098
134990555,120869285
134990555,128193004
134990555,134687905
134990555,143566827
137158822,147097699
137158822,158559686
137158822,159237345
137158822,165680429
137158822,177293890
145914663,178961342
145914663,185851206
145914663,187887086
145914663,189551944
145914663,190900483
155377046,191777226
155377046,193653572
155377046,200306446
155377046,203082064
155377046,210307978
160557232,211452814
160557232,211663112
160557232,230192889
160557232,230866244
160557232,232938795
177432138,236233360
177432138,237680943
177432138,243348589
177432138,246192363
177432138,248525863
204063283,255817242
204063283,256025688
204063283,259029641
204063283,260123152
204063283,264313030
204432546,264816567
204432546,269653948
204432546,273244416
204432546,276214422
204432546,279152959
235937624,284901258
235937624,294990222
235937624,296599147
235937624,299486871
235937624,300018498
244164705,314867051
244164705,319692426
244164705,326305187
244164705,334609762
244164705,335040941
245432863,335501251
245432863,336773716
245432863,337972582
245432863,342168220
245432863,350135969
262383590,352009936
262383590,352117624
262383590,355703817
262383590,360433896
262383590,363358658
286472566,364405064
286472566,364749715
286472566,366967340
286472566,367778335
286472566,370351135
315256667,377893155
315256667,389511092
315256667,395289750
315256667,401830214
315256667,411401931
342067328,413823062
342067328,413947491
342067328,416315385
342067328,419242760
342067328,420183904
355357507,423281673
355357507,423509842
355357507,423546213
355357507,425480520
355357507,425787405
412772056,426603790
412772056,435873426
412772056,439162339
412772056,445799265
412772056,449743936
440645829,454592501
440645829,454918158
440645829,455231905
440645829,456550613
440645829,463740700
446841614,479583323
446841614,482337668
446841614,492550317
446841614,494990788
446841614,497019862
481781613,499566312
481781613,505505306
481781613,517041265
481781613,518388356
481781613,533358681
485387521,533364492
485387521,535953053
485387521,535982763
485387521,545304055
485387521,552830316
522799193,554100092
522799193,559947785
522799193,571009529
522799193,585809350
522799193,586774237
529253077,587389519
529253077,605934450
529253077,607175343
529253077,611612709
529253077,619401425
536028527,619450211
536028527,625100691
536028527,634340152
536028527,642918010
536028527,646449800
556008801,648980904
556008801,656578232
556008801,659584104
556008801,661732328
556008801,661847378
644246764,664895666
644246764,668242727
644246764,670611650
644246764,672661504
644246764,680605222
653910335,681453664
653910335,682272259
653910335,686130543
653910335,695833354
653910335,727864570
714672532,731915148
714672532,732863935
714672532,737043426
714672532,738671145
714672532,742293756
750228134,743018525
750228134,743249788
750228134,749986247
750228134,755466552
750228134,765934531
802424507,766345103
802424507,768283167
802424507,768389319
802424507,774441445
802424507,776462613
806298818,777557969
806298818,778342580
806298818,789058888
806298818,793322196
806298818,797120889
821810960,802387201
821810960,812135472
821810960,815590603
821810960,818723172
821810960,822903894
827523786,824207485
827523786,825068693
827523786,827567639
827523786,828809016
827523786,840732201
839211932,846395268
839211932,853173588
839211932,858152032
839211932,865825241
839211932,869847326
863285961,870763541
863285961,873965024
863285961,881142756
863285961,882388183
863285961,888810854
876858811,893884901
876858811,896143516
876858811,903032325
876858811,903616531
876858811,909926896
878567728,913418697
878567728,915626566
878567728,930307347
878567728,933746523
878567728,939006515
936368475,941318942
936368475,946660090
936368475,951802116
936368475,953164228
936368475,961165213
984222713,966315507
984222713,970057390
984222713,970562200
984222713,972507826
984222713,972620522
998954445,976703105
998954445,980391368
998954445,982615266
998954445,982985717
998954445,983960000
