chainid,hotelid
104524988,126919188
104524988,134990555
104524988,137158822
104524988,145914663
104524988,155377046
104524988,160557232
104524988,177432138
104524988,204063283
364021433,204432546
364021433,235937624
364021433,244164705
364021433,245432863
364021433,262383590
364021433,286472566
364021433,315256667
364021433,342067328
451701980,355357507
451701980,412772056
451701980,440645829
451701980,446841614
451701980,481781613
451701980,485387521
451701980,522799193
451701980,529253077
451701980,536028527
572848082,556008801
572848082,644246764
572848082,653910335
572848082,714672532
572848082,750228134
572848082,802424507
572848082,806298818
572848082,821810960
612953274,827523786
612953274,839211932
612953274,863285961
612953274,876858811
612953274,878567728
612953274,936368475
612953274,984222713
612953274,998954445
