roomid,isextendible,roomnumber,price,capacity,ac,tv,fridge,freezer,isdamaged,viewopt
401830214,true,116,297.5,3,true,false,false,false,false,Forest
846395268,false,225,965.26,7,true,false,false,false,true,Mountain
668242727,false,108,1849.73,1,true,true,false,true,true,River
766345103,false,155,1217.69,6,false,false,false,true,false,River
352117624,false,117,1288.13,6,true,true,true,false,true,Sea
279152959,true,234,693.45,7,true,false,false,true,false,Sea
768283167,true,214,1681.7,3,false,false,false,true,false,Mountain
426603790,true,275,460.11,6,true,true,false,true,true,River
243348589,false,203,176.95,7,true,true,false,true,true,Forest
755466552,false,262,155.72,6,true,true,false,false,true,Sea
815590603,false,127,1150.92,4,false,false,false,false,true,Mountain
840732201,true,152,223.53,7,true,true,true,true,false,River
946660090,false,112,374.41,2,true,true,true,false,true,Forest
337972582,true,275,144.3,2,true,false,true,false,false,River
793322196,true,297,1528.39,4,true,true,true,false,true,Sea
882388183,false,104,1420.56,3,false,false,false,false,true,Mountain
413823062,true,202,1608.08,10,false,true,true,true,true,Forest
255817242,true,133,1206.26,7,false,true,true,true,true,Mountain
858152032,false,119,596.05,6,true,false,true,true,false,Mountain
661847378,false,223,156.96,3,false,true,true,true,false,Sea
296599147,false,124,1453.53,2,true,true,true,true,false,Mountain
933746523,false,294,1867.33,9,false,true,false,false,true,River
873965024,false,260,649.24,10,false,false,true,true,true,Mountain
336773716,true,263,1818.91,10,false,true,true,false,true,Sea
187887086,false,260,747.82,8,false,false,true,false,false,Forest
870763541,true,136,207.03,4,true,false,true,true,true,Forest
165680429,true,127,298.17,2,false,false,true,true,false,Sea
377893155,false,289,1130.91,9,true,false,false,true,false,Mountain
743018525,true,287,1861.86,10,false,true,true,true,false,Sea
777557969,false,185,1774.96,2,true,false,true,true,true,Mountain
941318942,false,123,546.1,3,false,true,true,true,false,Sea
264313030,true,291,883.21,5,true,false,false,false,true,Forest
909926896,false,280,1087.32,7,true,true,true,false,true,Mountain
535953053,true,138,540.37,5,false,false,true,false,false,Mountain
178961342,true,197,1672.44,8,false,true,true,false,true,Mountain
147097699,true,205,312.09,6,false,true,true,false,false,Forest
335040941,true,200,309.64,10,false,true,false,false,false,Sea
269653948,false,204,1505.03,2,false,true,true,false,false,Sea
903616531,false,253,1836.13,1,true,false,false,true,true,Forest
619450211,true,186,1136.05,10,false,true,false,true,false,Sea
953164228,true,134,1026.14,10,true,true,true,false,true,River
389511092,true,266,752.06,1,true,true,true,false,false,River
185851206,false,214,717.5,2,true,false,false,true,true,Forest
812135472,false,217,1534.87,9,true,true,true,true,true,Sea
411401931,true,180,1061.65,1,true,true,false,true,true,Forest
619401425,true,236,318.18,8,false,true,false,false,true,River
420183904,true,282,490.35,3,true,false,true,true,true,Sea
366967340,true,174,732.36,10,false,false,false,false,true,Mountain
232938795,true,195,1579.6,4,true,true,false,false,true,Forest
672661504,true,289,232.38,2,true,true,false,false,false,Sea
100465866,false,294,705.87,6,true,true,false,false,true,Sea
259029641,false,278,491.03,9,true,false,false,true,false,River
352009936,false,136,204.49,9,true,false,false,true,true,River
482337668,true,248,282.01,7,false,false,true,false,true,River
533358681,true,275,249.58,8,true,true,false,false,false,Mountain
260123152,true,255,1834.05,4,false,false,false,true,true,Sea
364405064,true,125,1069.98,5,true,true,true,true,true,River
425480520,true,132,1325.39,8,true,true,true,false,false,Mountain
230866244,true,276,118.25,4,false,true,false,true,true,River
158559686,true,119,190.62,9,false,true,false,true,true,River
189551944,false,195,1700.94,3,true,true,false,false,true,River
454592501,true,130,1915.32,4,true,true,true,true,true,Forest
585809350,true,121,1714.42,7,false,false,false,false,false,Forest
456550613,false,286,1367.0,9,true,true,false,false,true,Mountain
423281673,true,195,1220.43,5,false,true,true,true,false,Mountain
970057390,true,289,1267.78,6,false,true,false,true,true,Forest
423546213,true,211,1465.09,5,false,false,false,false,false,River
334609762,true,121,223.89,5,true,false,false,true,false,Sea
695833354,false,216,1651.88,10,false,true,true,true,false,Sea
113225018,true,112,1911.0,8,true,true,false,true,false,River
264816567,false,283,1166.95,3,true,true,true,false,false,River
893884901,true,278,454.09,9,false,true,false,false,false,Sea
818723172,false,116,1767.64,8,false,true,false,true,true,Sea
494990788,false,280,1122.5,7,true,false,false,false,false,River
774441445,true,212,694.08,10,false,false,false,false,false,Mountain
517041265,true,197,518.2,9,false,false,true,false,true,Sea
731915148,false,292,156.43,5,true,false,true,false,false,Sea
439162339,true,202,1903.41,2,true,false,true,true,false,River
768389319,false,276,1854.41,8,false,true,true,true,false,River
211663112,true,250,1522.99,7,true,true,true,false,true,Mountain
686130543,true,216,812.73,8,false,false,true,true,true,River
300018498,true,260,1809.11,5,true,true,true,true,false,Forest
370351135,true,200,316.26,4,true,true,false,true,true,Mountain
972620522,false,169,1713.83,3,false,true,true,true,false,River
423509842,false,215,1556.37,9,false,true,true,true,false,Mountain
853173588,true,158,1420.34,5,false,false,true,true,false,Mountain
200306446,false,254,1503.58,9,true,true,false,true,false,Forest
552830316,true,233,462.54,5,true,false,true,false,true,Forest
236233360,true,133,414.52,1,true,true,false,false,true,Sea
727864570,false,101,670.14,5,true,true,false,true,false,River
435873426,false,200,1527.07,4,true,false,true,false,false,Mountain
191777226,true,148,1741.92,9,true,false,true,false,true,Forest
680605222,false,110,251.95,7,false,true,false,false,false,Forest
230192889,false,258,1810.77,4,true,true,true,false,false,Mountain
463740700,false,123,413.35,6,false,false,true,false,true,Forest
822903894,false,140,447.92,6,false,false,true,true,true,Mountain
294990222,true,194,1243.78,1,true,false,true,true,false,Mountain
190900483,false,105,672.69,1,true,false,true,true,true,Mountain
951802116,true,130,945.08,10,false,true,false,false,false,Sea
732863935,true,163,412.52,4,true,false,true,true,false,Forest
319692426,true,142,1180.28,3,false,false,true,false,false,Forest
749986247,true,159,757.09,3,false,true,true,false,true,River
765934531,true,218,813.06,3,false,true,false,true,true,Sea
915626566,false,132,1263.19,7,true,false,false,true,true,Mountain
659584104,false,112,788.27,4,false,true,false,true,false,River
518388356,true,122,1928.1,1,false,false,true,true,false,Mountain
625100691,false,257,993.65,1,true,true,false,false,true,Mountain
888810854,true,139,343.78,7,true,false,false,false,false,River
825068693,false,218,1851.84,4,true,false,true,false,true,Mountain
737043426,true,121,1657.12,6,false,false,false,true,true,Mountain
743249788,true,201,1547.03,6,false,false,false,false,true,Sea
314867051,true,192,1186.15,8,true,true,false,true,true,Mountain
492550317,true,235,1168.12,1,true,true,true,false,true,Forest
413947491,false,256,1377.48,8,true,false,true,true,false,Forest
559947785,false,179,1893.81,9,false,false,true,true,false,Forest
114663098,true,119,1898.39,2,false,false,false,true,false,River
367778335,false,126,806.71,3,true,true,true,true,false,Mountain
681453664,true,153,1845.22,1,true,false,false,true,true,Forest
326305187,false,223,202.52,5,false,false,true,true,false,River
363358658,false,193,917.97,5,false,true,true,true,false,Forest
246192363,true,205,1442.51,8,true,false,true,true,false,River
605934450,false,183,1477.02,10,true,false,true,true,true,Mountain
554100092,false,284,1670.04,7,true,false,true,false,false,Sea
445799265,true,151,113.79,8,false,false,true,false,false,Mountain
128193004,true,240,1770.64,10,true,true,false,false,false,Sea
159237345,true,199,123.27,1,false,false,true,false,true,Sea
828809016,true,204,1206.99,10,true,true,true,false,true,Forest
177293890,false,100,1292.41,7,true,false,false,true,true,River
896143516,true,140,1874.05,2,false,true,true,true,false,Forest
535982763,false,276,1319.46,10,true,true,false,false,true,River
976703105,false,197,313.55,5,false,false,false,false,true,River
505505306,false,145,876.59,7,false,false,true,false,true,Mountain
869847326,false,121,869.99,3,false,false,false,true,false,River
105729774,false,258,654.39,1,false,false,true,false,true,Forest
789058888,true,149,1311.83,2,false,true,true,true,true,Forest
237680943,true,281,1575.24,9,true,false,false,true,true,Forest
797120889,false,188,1651.06,10,true,false,false,true,false,River
903032325,false,101,1880.77,1,false,false,false,true,false,Forest
966315507,false,111,890.06,7,false,true,false,false,true,River
114220619,false,239,1174.87,3,false,false,true,false,true,River
211452814,true,174,1818.47,1,true,false,true,false,false,River
982985717,true,290,1610.7,1,false,true,false,false,true,Mountain
419242760,false,164,605.08,8,false,false,false,false,true,Sea
682272259,false,234,628.84,5,true,false,true,true,true,River
342168220,true,156,1248.14,10,false,true,false,false,true,Forest
776462613,false,291,1102.73,2,true,true,false,true,false,River
670611650,false,258,517.93,2,true,false,true,false,true,River
827567639,false,202,867.11,9,true,false,false,false,false,Mountain
134687905,false,145,1387.54,5,false,false,false,false,false,River
203082064,false,174,1097.24,8,true,true,true,false,false,River
193653572,false,242,1600.77,4,true,true,false,true,false,Mountain
802387201,true,180,1464.95,1,true,true,false,true,false,Sea
350135969,false,206,433.21,5,true,false,false,false,true,Forest
416315385,true,165,1803.08,1,true,true,true,false,true,Mountain
642918010,true,148,1572.93,10,false,false,false,false,false,Forest
646449800,false,168,1332.11,1,false,true,false,false,true,Sea
497019862,false,175,1593.77,1,true,false,false,true,true,Mountain
738671145,true,210,914.72,10,false,true,true,true,false,Mountain
586774237,true,282,408.02,3,true,true,true,true,false,Forest
661732328,true,159,419.89,2,false,false,true,true,true,Forest
120869285,true,232,1827.33,10,true,true,false,false,true,Mountain
533364492,true,153,1630.07,9,true,false,true,false,false,River
648980904,false,155,631.38,7,false,false,true,false,true,Forest
742293756,false,246,1283.07,5,false,true,false,true,true,Forest
284901258,true,228,1107.47,5,true,false,false,true,false,Mountain
939006515,true,141,1816.96,8,true,false,false,false,true,Sea
454918158,true,192,610.01,4,false,true,false,true,false,Forest
425787405,true,205,1442.2,3,true,true,true,false,false,River
110692903,false,103,758.07,2,false,true,false,true,true,Mountain
865825241,false,293,1704.37,4,true,false,false,false,true,Mountain
881142756,false,124,1846.93,2,false,true,false,false,true,River
256025688,true,223,505.88,2,false,false,true,true,true,Mountain
335501251,false,214,1639.9,8,false,false,false,true,true,Forest
545304055,false,150,1515.82,6,true,false,false,false,false,River
656578232,true,260,780.04,6,true,false,true,true,true,Mountain
634340152,false,230,1616.04,3,true,true,false,true,false,River
210307978,false,152,1836.96,4,false,false,true,false,false,Forest
930307347,false,161,381.78,3,false,false,false,false,true,Mountain
824207485,true,165,1806.04,10,true,true,true,true,false,Sea
360433896,true,261,136.82,2,false,false,true,false,false,Sea
587389519,true,115,1899.86,9,false,false,false,false,false,Forest
449743936,false,175,436.29,10,false,true,true,false,false,Mountain
479583323,false,152,1150.51,6,false,true,false,true,false,Forest
499566312,true,238,1679.15,9,true,false,true,true,false,Mountain
364749715,true,262,1086.0,4,true,false,true,false,true,River
571009529,false,224,485.13,2,true,true,false,true,true,Mountain
395289750,false,196,898.33,1,false,true,false,false,true,Forest
972507826,true,113,1616.07,7,false,false,true,true,true,Sea
299486871,true,250,1026.65,3,false,false,true,false,true,Forest
970562200,false,158,876.94,2,true,true,false,false,false,River
980391368,false,297,457.07,2,false,false,false,false,true,Forest
248525863,true,254,465.02,2,true,false,true,true,true,Forest
961165213,true,114,1605.41,2,true,true,false,false,true,Forest
983960000,false,292,1951.08,1,true,true,false,true,true,Mountain
611612709,true,248,1495.97,3,false,true,true,false,true,Mountain
913418697,true,276,1823.21,2,true,true,true,true,true,Forest
143566827,false,174,1412.11,8,true,false,false,true,false,Forest
982615266,true,112,600.56,7,false,false,false,true,false,Forest
355703817,false,295,652.06,5,true,true,false,true,false,River
778342580,false,122,1363.6,2,false,false,true,false,false,Forest
664895666,false,122,1369.31,9,true,false,false,false,true,Sea
455231905,false,254,364.96,2,true,true,true,true,true,Mountain
273244416,true,150,781.43,9,true,false,true,false,true,Forest
607175343,true,276,1124.15,6,true,false,true,false,true,Forest
276214422,false,124,508.29,10,true,true,false,false,true,Forest
